area,time,手机银行,精准营销,电子商务,在线理财,网联
河北,2018-11-07,228,57,320,0,119
河北,2018-11-08,190,57,313,0,117
河北,2018-11-09,215,115,287,0,121
河北,2018-11-10,245,114,257,0,117
河北,2018-11-11,189,0,251,0,140
河北,2018-11-12,256,0,309,0,129
河北,2018-11-13,273,117,285,0,128
河北,2018-11-14,235,61,300,0,125
河北,2018-11-15,274,115,299,0,61
河北,2018-11-16,255,0,265,0,121
河北,2018-11-17,190,57,266,0,117
河北,2018-11-18,204,124,268,0,126
河北,2018-11-19,271,116,313,0,118
河北,2018-11-20,265,116,294,0,121
河北,2018-11-21,266,129,301,0,114
河北,2018-11-22,261,0,295,0,121
河北,2018-11-23,300,116,291,0,65
河北,2018-11-24,202,57,266,0,131
河北,2018-11-25,178,57,252,0,0
河北,2018-11-26,231,117,291,0,61
河北,2018-11-27,277,116,286,0,114
河北,2018-11-28,269,119,301,0,0
河北,2018-11-29,279,0,293,0,63
河北,2018-11-30,224,57,290,0,126
河北,2018-12-01,266,57,267,0,60
河北,2018-12-02,201,57,279,0,0
河北,2018-12-03,285,119,294,0,127
河北,2018-12-04,291,57,295,0,120
河北,2018-12-05,304,115,301,0,116
河北,2018-12-06,311,116,281,0,116
河北,2018-12-07,203,122,280,0,124
河北,2018-12-08,186,57,264,0,0
河北,2018-12-09,174,120,243,0,63
河北,2018-12-10,242,60,257,0,119
河北,2018-12-11,275,120,395,0,120
河北,2018-12-12,269,58,296,0,115
河北,2018-12-13,206,57,302,0,130
河北,2018-12-14,245,0,314,0,122
河北,2018-12-15,241,123,411,0,131
河北,2018-12-16,259,115,256,0,129
河北,2018-12-17,201,114,340,0,119
河北,2018-12-18,219,117,343,57,124
河北,2018-12-19,231,60,359,0,120
河北,2018-12-20,243,116,363,0,0
河北,2018-12-21,268,0,361,0,57
河北,2018-12-22,196,117,287,0,60
河北,2018-12-23,225,58,269,57,59
河北,2018-12-24,261,119,343,0,122
河北,2018-12-25,231,124,393,0,64
河北,2018-12-26,305,57,365,0,114
河北,2018-12-27,261,61,375,0,115
河北,2018-12-28,294,57,303,0,114
河北,2018-12-29,256,118,302,0,57
河北,2018-12-30,237,0,309,0,115
河北,2018-12-31,201,57,295,0,115
河北,2019-01-01,217,57,340,0,57
河北,2019-01-02,304,120,384,0,117
河北,2019-01-03,215,0,365,0,58
河北,2019-01-04,288,57,317,0,119
河北,2019-01-05,269,57,286,0,57
河北,2019-01-06,265,57,268,0,114
河北,2019-01-07,228,0,303,0,124
河北,2019-01-08,262,57,301,0,124
河北,2019-01-09,228,117,310,0,119
河北,2019-01-10,294,115,294,0,120
河北,2019-01-11,334,60,304,0,59
河北,2019-01-12,205,0,300,0,114
河北,2019-01-13,231,61,249,0,58
河北,2019-01-14,303,60,294,0,127
河北,2019-01-15,311,59,240,59,57
河北,2019-01-16,303,0,251,58,120
河北,2019-01-17,316,58,254,57,114
河北,2019-01-18,234,115,258,0,118
河北,2019-01-19,201,57,230,0,61
河北,2019-01-20,186,0,243,0,58
河北,2019-01-21,247,59,235,63,126
河北,2019-01-22,231,61,244,0,120
河北,2019-01-23,225,61,242,0,117
河北,2019-01-24,321,57,212,0,132
河北,2019-01-25,286,0,227,0,61
河北,2019-01-26,227,58,226,0,114
河北,2019-01-27,236,0,224,0,60
河北,2019-01-28,232,57,205,0,121
河北,2019-01-29,327,0,239,0,114
河北,2019-01-30,277,114,246,0,59
河北,2019-01-31,320,57,246,57,57
河北,2019-02-01,331,57,214,0,57
河北,2019-02-02,289,61,160,0,59
河北,2019-02-03,295,0,152,0,0
河北,2019-02-04,193,0,182,0,57
河北,2019-02-05,198,0,154,0,57
河北,2019-02-06,136,0,249,0,58
河北,2019-02-07,149,0,264,0,117
河北,2019-02-08,242,0,334,0,0
河北,2019-02-09,220,115,317,0,59
河北,2019-02-10,230,0,276,0,57
河北,2019-02-11,279,59,308,0,57
河北,2019-02-12,212,57,315,0,123
河北,2019-02-13,303,121,302,0,117
河北,2019-02-14,245,69,298,0,117
河北,2019-02-15,215,115,322,0,114
河北,2019-02-16,281,128,289,0,61
河北,2019-02-17,271,63,313,0,118
河北,2019-02-18,276,0,378,0,120
河北,2019-02-19,298,57,356,0,57
河北,2019-02-20,243,67,402,0,118
河北,2019-02-21,225,122,381,0,57
河北,2019-02-22,276,128,363,0,127
河北,2019-02-23,259,0,340,0,65
河北,2019-02-24,225,57,344,0,129
河北,2019-02-25,231,66,460,0,61
河北,2019-02-26,288,115,420,0,117
河北,2019-02-27,262,60,473,0,118
河北,2019-02-28,294,73,418,0,126
河北,2019-03-01,257,70,490,0,117
河北,2019-03-02,265,61,417,0,59
河北,2019-03-03,212,115,391,0,60
河北,2019-03-04,208,117,441,66,119
河北,2019-03-05,184,114,459,0,117
河北,2019-03-06,267,124,479,0,60
河北,2019-03-07,259,61,598,0,117
河北,2019-03-08,274,57,540,0,114
河北,2019-03-09,201,60,514,59,0
河北,2019-03-10,281,58,387,57,114
河北,2019-03-11,193,58,408,57,114
河北,2019-03-12,239,58,376,0,66
河北,2019-03-13,239,0,367,0,123
河北,2019-03-14,279,69,346,57,120
河北,2019-03-15,204,67,345,0,0
河北,2019-03-16,178,66,296,0,58
河北,2019-03-17,176,115,265,0,115
河北,2019-03-18,189,116,322,0,124
河北,2019-03-19,245,0,313,0,120
河北,2019-03-20,208,115,340,0,65
河北,2019-03-21,288,63,306,0,120
河北,2019-03-22,286,57,304,0,121
河北,2019-03-23,192,57,307,57,0
河北,2019-03-24,227,0,299,57,58
河北,2019-03-25,260,60,308,0,117
河北,2019-03-26,251,117,360,0,124
河北,2019-03-27,279,117,312,0,117
河北,2019-03-28,280,63,315,0,119
河北,2019-03-29,283,0,313,0,114
河北,2019-03-30,181,123,278,0,117
河北,2019-03-31,272,58,284,0,0
河北,2019-04-01,247,71,279,0,61
河北,2019-04-02,212,57,302,0,128
河北,2019-04-03,272,58,265,0,57
河北,2019-04-04,267,60,268,0,114
河北,2019-04-05,252,67,267,0,60
河北,2019-04-06,250,63,263,0,118
河北,2019-04-07,237,58,316,0,58
河北,2019-04-08,252,124,369,0,59
河北,2019-04-09,263,76,372,0,61
河北,2019-04-10,256,58,464,61,0
河北,2019-04-11,263,0,506,0,119
河北,2019-04-12,256,119,440,0,58
河北,2019-04-13,243,61,356,0,57
河北,2019-04-14,221,116,298,0,57
河北,2019-04-15,269,57,242,0,63
河北,2019-04-16,283,61,266,0,57
河北,2019-04-17,267,114,298,0,116
河北,2019-04-18,252,115,279,0,60
河北,2019-04-19,250,114,301,0,117
河北,2019-04-20,248,58,341,0,115
河北,2019-04-21,157,122,271,0,58
河北,2019-04-22,277,59,270,59,57
河北,2019-04-23,250,65,244,0,57
河北,2019-04-24,224,122,294,0,57
河北,2019-04-25,223,118,256,0,0
河北,2019-04-26,192,57,259,0,57
河北,2019-04-27,235,58,267,0,0
河北,2019-04-28,271,127,273,59,115
河北,2019-04-29,266,115,270,0,60
河北,2019-04-30,250,57,275,57,120
河北,2019-05-01,252,57,241,0,57
河北,2019-05-02,238,58,248,0,115
河北,2019-05-03,164,57,238,0,0
河北,2019-05-04,151,0,250,0,57
河北,2019-05-05,241,61,288,0,114
河北,2019-05-06,254,124,272,0,114
河北,2019-05-07,204,118,315,0,57
河北,2019-05-08,170,58,297,0,60
河北,2019-05-09,189,122,310,0,114
河北,2019-05-10,258,118,290,0,57
河北,2019-05-11,193,0,285,0,66
河北,2019-05-12,185,0,255,0,0
河北,2019-05-13,171,58,290,0,0
河北,2019-05-14,252,0,288,0,58
河北,2019-05-15,258,61,318,0,121
河北,2019-05-16,233,0,313,0,59
河北,2019-05-17,239,58,332,0,58
河北,2019-05-18,244,118,297,0,57
河北,2019-05-19,224,114,269,0,61
河北,2019-05-20,256,114,313,0,117
河北,2019-05-21,199,67,296,0,57
河北,2019-05-22,239,60,294,0,57
河北,2019-05-23,230,0,307,0,57
河北,2019-05-24,177,60,311,63,0
河北,2019-05-25,230,58,288,0,61
河北,2019-05-26,230,0,291,57,57
河北,2019-05-27,265,119,330,0,57
河北,2019-05-28,254,57,334,0,122
河北,2019-05-29,256,57,342,0,57
河北,2019-05-30,259,57,312,0,57
河北,2019-05-31,196,0,346,0,0
