area,time,移动支付,网上银行,电子银行,网银,互联网理财
北京,2018-03-11,188,208,122,134,67
北京,2018-03-12,211,214,126,138,134
北京,2018-03-13,223,195,137,172,131
北京,2018-03-14,231,195,134,156,68
北京,2018-03-15,199,205,66,164,127
北京,2018-03-16,186,203,122,150,127
北京,2018-03-17,161,191,63,148,118
北京,2018-03-18,162,172,119,149,120
北京,2018-03-19,205,183,121,167,131
北京,2018-03-20,202,185,127,151,126
北京,2018-03-21,202,199,127,154,123
北京,2018-03-22,190,208,128,151,126
北京,2018-03-23,176,189,128,154,121
北京,2018-03-24,151,186,123,155,123
北京,2018-03-25,165,184,119,132,126
北京,2018-03-26,192,208,127,175,121
北京,2018-03-27,219,197,124,169,120
北京,2018-03-28,191,196,124,158,127
北京,2018-03-29,214,232,137,179,59
北京,2018-03-30,210,212,135,167,123
北京,2018-03-31,179,209,118,158,63
北京,2018-04-01,197,173,61,148,118
北京,2018-04-02,217,214,124,150,123
北京,2018-04-03,209,245,129,169,138
北京,2018-04-04,163,224,128,167,134
北京,2018-04-05,155,215,60,133,115
北京,2018-04-06,159,198,58,143,119
北京,2018-04-07,139,179,0,132,115
北京,2018-04-08,203,211,126,141,121
北京,2018-04-09,202,227,129,171,132
北京,2018-04-10,209,225,133,173,135
北京,2018-04-11,190,262,142,202,126
北京,2018-04-12,197,308,129,197,116
北京,2018-04-13,204,326,140,214,122
北京,2018-04-14,174,246,128,177,115
北京,2018-04-15,187,278,60,176,134
北京,2018-04-16,209,328,70,208,76
北京,2018-04-17,205,313,122,204,146
北京,2018-04-18,223,315,143,201,128
北京,2018-04-19,173,301,124,212,122
北京,2018-04-20,180,323,64,200,126
北京,2018-04-21,177,274,119,201,119
北京,2018-04-22,168,249,66,186,127
北京,2018-04-23,150,324,129,218,133
北京,2018-04-24,206,306,121,193,132
北京,2018-04-25,177,280,129,214,147
北京,2018-04-26,167,292,124,196,121
北京,2018-04-27,198,266,121,145,119
北京,2018-04-28,162,245,118,169,121
北京,2018-04-29,153,237,60,158,57
北京,2018-04-30,160,238,124,154,59
北京,2018-05-01,135,222,67,87,120
北京,2018-05-02,190,267,128,177,63
北京,2018-05-03,192,235,122,176,59
北京,2018-05-04,181,251,132,173,63
北京,2018-05-05,146,216,122,151,127
北京,2018-05-06,171,216,125,152,142
北京,2018-05-07,223,254,134,176,129
北京,2018-05-08,220,278,134,191,135
北京,2018-05-09,176,235,124,174,124
北京,2018-05-10,196,284,128,160,139
北京,2018-05-11,182,224,126,188,72
北京,2018-05-12,145,231,122,158,115
北京,2018-05-13,150,241,123,168,131
北京,2018-05-14,183,251,122,181,131
北京,2018-05-15,170,284,135,188,124
北京,2018-05-16,177,287,63,185,124
北京,2018-05-17,219,307,132,194,120
北京,2018-05-18,167,283,126,201,121
北京,2018-05-19,152,226,63,151,119
北京,2018-05-20,147,237,118,180,0
北京,2018-05-21,191,326,129,212,68
北京,2018-05-22,179,318,128,214,72
北京,2018-05-23,196,280,124,219,128
北京,2018-05-24,181,276,127,201,116
北京,2018-05-25,188,288,129,195,66
北京,2018-05-26,152,256,120,169,118
北京,2018-05-27,192,256,70,178,114
北京,2018-05-28,190,282,143,194,124
北京,2018-05-29,199,263,137,200,116
北京,2018-05-30,218,328,121,182,119
北京,2018-05-31,196,294,122,188,127
北京,2018-06-01,150,291,136,198,64
北京,2018-06-02,152,237,130,186,115
北京,2018-06-03,162,249,119,167,61
北京,2018-06-04,180,269,130,186,128
北京,2018-06-05,186,286,138,227,125
北京,2018-06-06,176,256,126,211,142
北京,2018-06-07,186,276,135,210,70
北京,2018-06-08,174,281,128,216,68
北京,2018-06-09,145,297,118,167,121
北京,2018-06-10,140,256,128,174,124
北京,2018-06-11,181,326,128,211,124
北京,2018-06-12,181,291,128,205,121
北京,2018-06-13,194,317,131,201,119
北京,2018-06-14,186,273,130,201,127
北京,2018-06-15,173,276,130,204,119
北京,2018-06-16,192,235,65,163,0
北京,2018-06-17,138,223,118,170,114
北京,2018-06-18,139,225,60,151,59
北京,2018-06-19,184,295,137,207,121
北京,2018-06-20,165,322,137,194,124
北京,2018-06-21,161,285,135,192,120
北京,2018-06-22,145,288,122,183,119
北京,2018-06-23,139,225,70,171,124
北京,2018-06-24,140,229,122,167,126
北京,2018-06-25,155,271,135,212,126
北京,2018-06-26,182,311,124,201,126
北京,2018-06-27,158,263,142,175,74
北京,2018-06-28,173,259,131,207,127
北京,2018-06-29,160,271,126,211,126
北京,2018-06-30,127,246,128,202,128
北京,2018-07-01,142,248,116,165,126
北京,2018-07-02,168,296,121,204,122
北京,2018-07-03,160,286,117,193,115
北京,2018-07-04,175,281,128,206,66
北京,2018-07-05,167,271,123,211,61
北京,2018-07-06,173,278,126,192,117
北京,2018-07-07,128,242,61,167,59
北京,2018-07-08,145,261,128,174,122
北京,2018-07-09,187,279,128,209,123
北京,2018-07-10,167,327,124,227,136
北京,2018-07-11,184,313,121,214,137
北京,2018-07-12,164,315,130,186,128
北京,2018-07-13,143,331,128,206,148
北京,2018-07-14,147,254,124,160,57
北京,2018-07-15,133,248,122,177,119
北京,2018-07-16,159,308,124,202,122
北京,2018-07-17,165,332,119,219,128
北京,2018-07-18,169,271,122,209,124
北京,2018-07-19,167,319,126,224,133
北京,2018-07-20,161,260,132,206,128
北京,2018-07-21,139,239,67,162,63
北京,2018-07-22,155,248,120,159,126
北京,2018-07-23,140,279,125,229,120
北京,2018-07-24,147,259,124,200,127
