area,time,移动支付,网上银行,电子银行,网银,互联网理财
河北,2014-03-17,134,383,120,243,124
河北,2014-03-18,142,366,126,252,122
河北,2014-03-19,134,345,63,220,136
河北,2014-03-20,135,393,122,236,131
河北,2014-03-21,131,414,60,259,129
河北,2014-03-22,133,423,118,271,139
河北,2014-03-23,132,405,67,255,130
河北,2014-03-24,128,375,120,209,125
河北,2014-03-25,128,392,128,349,129
河北,2014-03-26,139,445,57,291,124
河北,2014-03-27,128,400,57,259,125
河北,2014-03-28,126,352,127,257,122
河北,2014-03-29,134,370,57,263,126
河北,2014-03-30,135,394,61,251,122
河北,2014-03-31,134,390,123,240,122
河北,2014-04-01,155,373,116,250,114
河北,2014-04-02,129,399,0,249,138
河北,2014-04-03,125,421,126,246,131
河北,2014-04-04,126,384,118,261,114
河北,2014-04-05,127,336,57,253,114
河北,2014-04-06,129,329,114,265,122
河北,2014-04-07,63,362,120,266,61
河北,2014-04-08,142,357,126,265,116
河北,2014-04-09,125,374,121,254,126
河北,2014-04-10,122,382,124,275,63
河北,2014-04-11,129,405,130,264,139
河北,2014-04-12,130,373,123,283,63
河北,2014-04-13,139,393,61,247,131
河北,2014-04-14,127,387,124,246,57
河北,2014-04-15,125,416,119,274,114
河北,2014-04-16,116,352,63,257,124
河北,2014-04-17,128,401,63,256,120
河北,2014-04-18,134,368,66,259,116
河北,2014-04-19,127,407,63,262,119
河北,2014-04-20,136,354,116,233,124
河北,2014-04-21,133,366,124,245,124
河北,2014-04-22,133,376,124,239,116
河北,2014-04-23,127,329,119,226,61
河北,2014-04-24,142,362,120,239,115
河北,2014-04-25,133,430,124,249,129
河北,2014-04-26,131,405,118,268,126
河北,2014-04-27,145,395,114,267,120
河北,2014-04-28,152,379,120,236,124
河北,2014-04-29,124,373,61,240,122
河北,2014-04-30,131,424,114,273,120
河北,2014-05-01,116,418,123,318,58
河北,2014-05-02,119,389,127,281,128
河北,2014-05-03,123,369,63,285,120
河北,2014-05-04,131,389,123,245,138
河北,2014-05-05,127,366,122,273,123
河北,2014-05-06,134,377,116,248,115
河北,2014-05-07,129,389,120,246,124
河北,2014-05-08,130,415,141,246,115
河北,2014-05-09,122,380,128,245,118
河北,2014-05-10,124,395,125,288,57
河北,2014-05-11,134,386,116,235,137
河北,2014-05-12,130,372,125,291,124
河北,2014-05-13,136,386,66,252,122
河北,2014-05-14,144,387,123,250,65
河北,2014-05-15,148,407,132,252,60
河北,2014-05-16,125,359,119,280,117
河北,2014-05-17,123,396,119,239,73
河北,2014-05-18,120,361,114,259,131
河北,2014-05-19,129,393,125,243,131
河北,2014-05-20,137,401,63,256,114
河北,2014-05-21,124,376,118,255,58
河北,2014-05-22,136,394,124,245,118
河北,2014-05-23,129,383,129,225,61
河北,2014-05-24,126,395,128,270,120
河北,2014-05-25,116,414,122,279,124
河北,2014-05-26,141,336,122,236,69
河北,2014-05-27,144,335,122,245,126
河北,2014-05-28,132,271,127,231,120
河北,2014-05-29,134,283,122,217,118
河北,2014-05-30,128,323,61,220,124
河北,2014-05-31,60,259,61,207,122
河北,2014-06-01,123,286,120,212,57
河北,2014-06-02,129,344,60,231,122
河北,2014-06-03,126,338,61,270,130
河北,2014-06-04,122,336,114,262,60
河北,2014-06-05,127,350,63,252,70
河北,2014-06-06,134,329,122,255,122
河北,2014-06-07,127,313,128,253,66
河北,2014-06-08,118,323,114,288,123
河北,2014-06-09,129,327,120,265,114
河北,2014-06-10,137,317,128,252,117
河北,2014-06-11,139,367,118,257,122
河北,2014-06-12,132,312,122,265,114
河北,2014-06-13,134,366,122,255,124
