area,time,网上银行,电子银行,网银,众筹,P2P
北京,2011-04-18,367,82,211,0,704
北京,2011-04-19,366,66,228,0,730
北京,2011-04-20,392,70,216,0,679
北京,2011-04-21,392,63,233,0,670
北京,2011-04-22,333,68,183,0,707
北京,2011-04-23,360,59,193,0,709
北京,2011-04-24,374,70,182,0,676
北京,2011-04-25,310,76,205,0,707
北京,2011-04-26,364,74,225,0,721
北京,2011-04-27,369,72,204,0,591
北京,2011-04-28,316,72,197,0,595
北京,2011-04-29,340,68,215,0,661
北京,2011-04-30,358,61,209,0,630
北京,2011-05-01,253,63,194,0,564
北京,2011-05-02,333,64,179,0,589
北京,2011-05-03,405,76,209,0,667
北京,2011-05-04,383,78,190,0,716
北京,2011-05-05,347,66,197,0,654
北京,2011-05-06,335,64,216,0,696
北京,2011-05-07,295,61,202,0,659
北京,2011-05-08,411,61,229,0,757
北京,2011-05-09,400,68,218,0,619
北京,2011-05-10,403,66,207,0,752
北京,2011-05-11,389,61,220,0,670
北京,2011-05-12,312,63,219,0,735
北京,2011-05-13,335,72,212,0,606
北京,2011-05-14,321,61,195,0,698
北京,2011-05-15,327,74,183,0,644
北京,2011-05-16,388,80,219,0,625
北京,2011-05-17,366,68,216,0,675
北京,2011-05-18,329,64,182,0,611
北京,2011-05-19,372,63,161,0,709
北京,2011-05-20,346,63,220,0,752
北京,2011-05-21,319,57,173,0,738
北京,2011-05-22,273,63,155,0,765
北京,2011-05-23,355,78,205,0,634
北京,2011-05-24,372,70,201,0,639
北京,2011-05-25,363,76,186,0,760
北京,2011-05-26,386,78,208,0,734
北京,2011-05-27,369,66,222,0,699
北京,2011-05-28,344,57,200,0,726
北京,2011-05-29,315,64,180,0,689
北京,2011-05-30,346,80,190,0,637
北京,2011-05-31,372,68,222,0,735
北京,2011-06-01,391,74,208,0,695
北京,2011-06-02,318,66,183,0,620
北京,2011-06-03,338,72,208,0,623
北京,2011-06-04,290,70,198,0,631
北京,2011-06-05,262,59,175,0,569
北京,2011-06-06,313,61,166,0,637
北京,2011-06-07,338,66,209,0,698
