area,time,流计算,移动互联,第三方支付,在线支付,移动支付
广东,2016-01-07,0,119,229,138,170
广东,2016-01-08,59,118,228,133,240
广东,2016-01-09,0,114,187,60,226
广东,2016-01-10,0,61,174,128,208
广东,2016-01-11,0,122,189,124,210
广东,2016-01-12,0,116,190,117,229
广东,2016-01-13,0,57,192,122,229
广东,2016-01-14,0,121,196,125,177
广东,2016-01-15,0,59,188,131,202
广东,2016-01-16,0,60,148,124,170
广东,2016-01-17,0,114,179,125,166
广东,2016-01-18,0,114,182,128,217
广东,2016-01-19,0,114,198,68,193
广东,2016-01-20,0,124,186,120,206
广东,2016-01-21,0,122,193,125,212
广东,2016-01-22,57,116,161,125,178
广东,2016-01-23,0,57,147,129,142
广东,2016-01-24,0,0,142,122,164
广东,2016-01-25,0,118,176,64,177
广东,2016-01-26,60,57,178,70,170
广东,2016-01-27,57,120,171,135,178
广东,2016-01-28,61,0,161,145,211
广东,2016-01-29,0,130,160,129,189
广东,2016-01-30,0,0,129,120,202
广东,2016-01-31,0,59,155,63,189
广东,2016-02-01,0,0,189,126,183
广东,2016-02-02,0,61,149,120,175
广东,2016-02-03,0,114,151,124,196
广东,2016-02-04,0,116,147,114,159
广东,2016-02-05,0,60,180,121,152
广东,2016-02-06,0,0,83,114,137
广东,2016-02-07,0,0,125,118,136
广东,2016-02-08,0,0,125,57,184
广东,2016-02-09,0,61,122,114,173
广东,2016-02-10,0,0,70,57,127
广东,2016-02-11,0,83,137,59,163
广东,2016-02-12,0,0,127,114,147
广东,2016-02-13,0,114,138,57,145
广东,2016-02-14,0,114,140,124,157
广东,2016-02-15,57,57,181,121,178
广东,2016-02-16,0,122,219,128,254
广东,2016-02-17,59,59,227,123,262
广东,2016-02-18,0,122,210,129,307
广东,2016-02-19,57,116,236,114,335
广东,2016-02-20,59,114,169,123,226
广东,2016-02-21,0,0,172,126,259
广东,2016-02-22,0,59,202,116,213
广东,2016-02-23,0,126,206,123,256
广东,2016-02-24,0,129,234,126,297
广东,2016-02-25,63,126,227,123,292
广东,2016-02-26,0,61,206,116,253
广东,2016-02-27,0,57,170,57,244
广东,2016-02-28,0,60,169,129,213
广东,2016-02-29,57,114,230,128,200
广东,2016-03-01,57,122,252,137,257
广东,2016-03-02,59,123,206,120,236
广东,2016-03-03,57,116,231,119,199
广东,2016-03-04,0,123,232,120,210
广东,2016-03-05,0,116,201,63,181
广东,2016-03-06,0,120,180,127,188
广东,2016-03-07,57,114,209,121,205
广东,2016-03-08,0,59,232,131,217
广东,2016-03-09,0,122,245,120,243
广东,2016-03-10,57,121,203,74,224
广东,2016-03-11,57,118,192,123,210
广东,2016-03-12,57,0,169,123,202
广东,2016-03-13,57,114,159,60,199
广东,2016-03-14,57,120,246,124,208
广东,2016-03-15,0,57,203,120,235
广东,2016-03-16,57,118,212,139,228
广东,2016-03-17,59,125,227,136,248
广东,2016-03-18,0,124,230,118,221
广东,2016-03-19,0,0,168,123,196
广东,2016-03-20,0,117,166,57,228
广东,2016-03-21,0,118,217,116,316
广东,2016-03-22,0,124,246,127,286
广东,2016-03-23,57,61,242,126,227
广东,2016-03-24,57,129,248,133,195
广东,2016-03-25,57,117,225,132,236
广东,2016-03-26,0,59,146,124,169
广东,2016-03-27,0,0,157,121,237
广东,2016-03-28,61,123,227,122,211
广东,2016-03-29,0,121,239,129,230
广东,2016-03-30,59,118,181,128,236
广东,2016-03-31,0,122,188,127,221
广东,2016-04-01,0,120,196,125,186
广东,2016-04-02,0,0,149,117,156
广东,2016-04-03,0,0,138,65,150
广东,2016-04-04,0,116,159,66,170
广东,2016-04-05,57,125,198,123,202
广东,2016-04-06,0,126,232,125,244
广东,2016-04-07,0,130,206,123,221
广东,2016-04-08,0,118,228,114,217
广东,2016-04-09,0,118,174,120,157
广东,2016-04-10,0,57,198,119,207
广东,2016-04-11,0,134,238,63,195
广东,2016-04-12,57,129,220,133,206
广东,2016-04-13,63,124,231,118,204
广东,2016-04-14,59,120,206,114,179
广东,2016-04-15,0,121,171,118,182
广东,2016-04-16,0,0,189,120,162
广东,2016-04-17,0,57,148,114,155
广东,2016-04-18,0,129,235,124,193
广东,2016-04-19,57,129,201,118,197
广东,2016-04-20,0,114,210,118,240
广东,2016-04-21,0,116,256,122,197
