area,time,移动支付,网上银行,电子银行,网银,互联网理财
天津,2011-06-15,64,211,63,110,0
天津,2011-06-16,59,193,57,102,0
天津,2011-06-17,57,195,0,97,0
天津,2011-06-18,57,180,61,91,0
天津,2011-06-19,57,190,59,112,0
天津,2011-06-20,59,209,63,99,0
天津,2011-06-21,61,186,57,101,0
天津,2011-06-22,61,236,59,108,0
天津,2011-06-23,59,184,59,102,0
天津,2011-06-24,59,219,57,110,0
天津,2011-06-25,57,177,0,118,0
天津,2011-06-26,0,193,59,116,0
天津,2011-06-27,63,173,64,135,0
天津,2011-06-28,59,202,61,118,0
天津,2011-06-29,0,209,57,123,0
天津,2011-06-30,63,195,61,121,0
天津,2011-07-01,0,211,57,121,0
天津,2011-07-02,59,200,59,137,0
天津,2011-07-03,0,200,64,131,0
天津,2011-07-04,57,233,61,101,0
天津,2011-07-05,59,187,57,102,0
天津,2011-07-06,61,183,57,129,0
天津,2011-07-07,0,191,57,125,0
天津,2011-07-08,59,172,0,118,0
天津,2011-07-09,0,190,57,112,0
天津,2011-07-10,0,161,66,137,0
天津,2011-07-11,0,176,59,129,0
天津,2011-07-12,57,193,57,118,0
天津,2011-07-13,57,182,0,106,0
天津,2011-07-14,57,180,0,121,0
天津,2011-07-15,57,184,63,116,0
天津,2011-07-16,57,165,61,125,0
天津,2011-07-17,57,190,57,99,0
天津,2011-07-18,57,186,63,106,0
天津,2011-07-19,0,163,61,140,0
天津,2011-07-20,57,179,61,121,0
天津,2011-07-21,0,219,61,125,0
天津,2011-07-22,57,158,59,139,0
天津,2011-07-23,0,173,57,133,0
天津,2011-07-24,57,172,63,118,0
天津,2011-07-25,0,190,0,118,0
天津,2011-07-26,0,158,59,101,0
天津,2011-07-27,63,183,57,106,0
天津,2011-07-28,59,177,57,108,0
天津,2011-07-29,57,194,61,118,0
天津,2011-07-30,0,165,0,135,0
天津,2011-07-31,57,186,57,125,0
天津,2011-08-01,61,228,59,137,0
天津,2011-08-02,0,213,57,121,0
天津,2011-08-03,59,166,0,112,0
天津,2011-08-04,57,190,57,131,0
天津,2011-08-05,57,184,57,120,0
天津,2011-08-06,0,173,57,93,0
天津,2011-08-07,0,154,57,116,0
天津,2011-08-08,57,165,57,104,0
天津,2011-08-09,63,191,61,114,0
天津,2011-08-10,61,172,57,102,0
天津,2011-08-11,63,176,59,123,0
天津,2011-08-12,59,186,61,116,0
天津,2011-08-13,59,165,57,112,0
天津,2011-08-14,0,165,57,110,0
天津,2011-08-15,66,191,0,110,0
天津,2011-08-16,57,163,59,116,0
天津,2011-08-17,61,166,57,112,0
天津,2011-08-18,59,170,59,114,0
天津,2011-08-19,59,157,0,125,0
天津,2011-08-20,57,162,63,116,0
天津,2011-08-21,0,165,59,97,0
天津,2011-08-22,61,172,0,99,0
天津,2011-08-23,63,175,59,104,0
天津,2011-08-24,63,180,57,97,0
天津,2011-08-25,57,184,59,125,0
天津,2011-08-26,68,195,57,123,0
天津,2011-08-27,63,159,57,123,0
天津,2011-08-28,59,176,57,110,0
天津,2011-08-29,59,190,63,99,0
天津,2011-08-30,59,163,57,114,0
天津,2011-08-31,66,183,61,112,0
天津,2011-09-01,68,182,59,120,0
天津,2011-09-02,59,179,59,129,0
天津,2011-09-03,59,166,61,133,0
天津,2011-09-04,57,176,57,146,0
天津,2011-09-05,57,169,63,110,0
天津,2011-09-06,59,165,63,97,0
天津,2011-09-07,61,190,59,102,0
天津,2011-09-08,0,172,59,93,0
天津,2011-09-09,63,187,59,102,0
天津,2011-09-10,57,170,57,116,0
天津,2011-09-11,61,182,0,140,0
天津,2011-09-12,64,175,59,125,0
天津,2011-09-13,59,179,61,93,0
天津,2011-09-14,61,180,61,131,0
天津,2011-09-15,59,201,66,91,0
天津,2011-09-16,61,191,57,102,0
天津,2011-09-17,59,159,59,95,0
天津,2011-09-18,57,157,0,108,0
天津,2011-09-19,59,170,66,129,0
天津,2011-09-20,61,177,61,110,0
天津,2011-09-21,57,166,57,89,0
天津,2011-09-22,57,175,61,91,0
天津,2011-09-23,57,175,0,99,0
天津,2011-09-24,63,172,57,102,0
天津,2011-09-25,57,163,63,118,0
天津,2011-09-26,61,166,64,97,0
天津,2011-09-27,76,155,0,97,0
天津,2011-09-28,66,165,57,112,0
天津,2011-09-29,66,165,0,102,0
天津,2011-09-30,63,179,0,120,0
天津,2011-10-01,0,173,0,120,0
天津,2011-10-02,57,154,61,89,0
天津,2011-10-03,59,162,0,93,0
天津,2011-10-04,0,148,57,89,0
天津,2011-10-05,59,142,0,95,0
天津,2011-10-06,59,150,57,104,0
天津,2011-10-07,66,182,57,108,0
天津,2011-10-08,59,166,57,87,0
天津,2011-10-09,57,187,61,85,0
天津,2011-10-10,59,183,57,106,0
天津,2011-10-11,61,170,0,93,0
天津,2011-10-12,61,173,0,131,0
天津,2011-10-13,59,187,59,99,0
天津,2011-10-14,59,176,59,108,0
天津,2011-10-15,61,193,61,121,0
天津,2011-10-16,59,173,59,108,0
天津,2011-10-17,57,194,59,89,0
天津,2011-10-18,61,159,64,97,0
天津,2011-10-19,63,172,64,95,0
天津,2011-10-20,63,165,57,112,0
天津,2011-10-21,63,157,59,123,0
天津,2011-10-22,63,161,59,108,0
天津,2011-10-23,61,159,0,106,0
天津,2011-10-24,66,161,59,91,0
天津,2011-10-25,61,183,61,118,0
天津,2011-10-26,63,182,63,114,0
天津,2011-10-27,59,172,59,120,0
天津,2011-10-28,61,170,64,102,0
天津,2011-10-29,63,142,57,116,0
天津,2011-10-30,59,169,57,104,0
天津,2011-10-31,59,172,59,97,0
天津,2011-11-01,63,194,64,120,0
天津,2011-11-02,66,209,57,120,0
天津,2011-11-03,61,159,59,116,0
天津,2011-11-04,64,176,59,112,0
天津,2011-11-05,64,159,57,101,0
天津,2011-11-06,61,179,59,114,0
天津,2011-11-07,66,186,59,116,0
天津,2011-11-08,66,179,59,118,0
天津,2011-11-09,64,173,59,93,0
天津,2011-11-10,66,200,63,131,0
天津,2011-11-11,61,226,68,140,0
天津,2011-11-12,66,191,0,106,0
天津,2011-11-13,63,151,57,127,0
天津,2011-11-14,61,202,59,110,0
天津,2011-11-15,66,236,57,125,0
天津,2011-11-16,68,186,61,87,0
天津,2011-11-17,70,200,61,106,0
天津,2011-11-18,64,187,59,93,0
天津,2011-11-19,64,198,57,125,0
天津,2011-11-20,63,200,61,101,0
天津,2011-11-21,61,173,0,104,0
天津,2011-11-22,57,193,59,120,0
天津,2011-11-23,64,163,57,104,0
天津,2011-11-24,66,177,59,104,0
天津,2011-11-25,66,169,61,121,0
天津,2011-11-26,61,180,59,133,0
天津,2011-11-27,57,184,59,129,0
天津,2011-11-28,63,180,0,112,0
天津,2011-11-29,64,180,63,112,0
天津,2011-11-30,63,198,61,110,0
天津,2011-12-01,64,213,61,123,0
天津,2011-12-02,68,198,0,133,0
天津,2011-12-03,63,166,0,125,0
天津,2011-12-04,59,190,61,125,0
天津,2011-12-05,57,175,66,118,0
天津,2011-12-06,64,202,57,129,0
天津,2011-12-07,68,170,59,99,0
天津,2011-12-08,61,166,0,102,0
天津,2011-12-09,78,186,63,114,0
天津,2011-12-10,61,150,57,129,0
天津,2011-12-11,66,179,57,129,0
天津,2011-12-12,66,179,57,129,0
天津,2011-12-13,59,183,64,93,0
天津,2011-12-14,57,182,57,110,0
天津,2011-12-15,64,193,66,106,0
天津,2011-12-16,59,154,59,104,0
天津,2011-12-17,64,155,57,125,0
天津,2011-12-18,59,183,61,121,0
天津,2011-12-19,66,207,61,110,0
天津,2011-12-20,63,188,61,131,0
天津,2011-12-21,57,179,63,125,0
天津,2011-12-22,64,154,64,106,0
